BoatNr,BoatTyp,BoatSxkTal
1,"Cumulus",1.1000000000000001e+00
2,"Mistress",1.0900000000000001e+00
3,"Vega",1.0009999999999999e+00
4,"Sveakryssare",1.1899999999999999e+00
5,"Scanmar 33",1.1399999999999999e+00
7,"RB 98",1.1699999999999999e+00
8,"Skärgårdskryssare 75",1.2600000000000000e+00
10,"RB 111",1.1970000000000001e+00
11,"Linjett 32 7/8",1.1250000000000000e+00
12,"Scampi",1.0900000000000001e+00
13,"OE 32",1.0649999999999999e+00
14,"Lady GT",1.2200000000000000e+00
15,"Lady II",1.2100000000000000e+00
16,"Comfort 30",1.0900000000000001e+00
17,"H7",1.1499999999999999e+00
18,"Maxi 84",1.0500000000000000e+00
19,"Vindö 40",1.0340000000000000e+00
20,"Johnson 26",1.0489999999999999e+00
21,"Omega 30",1.1499999999999999e+00
22,"Birdie 32",1.1100000000000001e+00
23,"Maxi Magic",1.0800000000000001e+00
24,"H-båt",1.0800000000000001e+00
25,"Allegro 33",1.0700000000000001e+00
26,"Maxi 77",1.0400000000000000e+00
27,"Conqubin 38 CR",1.2100000000000000e+00
28,"Contrast 362",1.2000000000000000e+00
29,"Maxi 95",1.0810000000000000e+00
30,"Trapper 400",1.0500000000000000e+00
31,"Shipman 28",1.0500000000000000e+00
32,"Wasa 410",1.2889999999999999e+00
33,"Diva 38",1.2800000000000000e+00
34,"Arcona 38",1.2400000000000000e+00
35,"Ravage 36",1.2300000000000000e+00
36,"Omega 34",1.1610000000000000e+00
37,"Lady Helmsman",1.1899999999999999e+00
38,"Maxi 999",1.1599999999999999e+00
39,"Comfortina 32",1.1399999999999999e+00
40,"Aphrodite 34",1.1399999999999999e+00
41,"Scanmar 31",1.1200000000000001e+00
42,"Schelinkryssare",1.0700000000000001e+00
43,"Möre 30 MH",1.0900000000000001e+00
44,"Lord Helmsman",1.0680000000000001e+00
45,"Maxi 777",1.0700000000000001e+00
46,"HR 29",1.0500000000000000e+00
47,"RJ 85",1.0589999999999999e+00
48,"IF",1.0169999999999999e+00
49,"Cutlass 27",9.8999999999999999e-01
50,"Carrera Helmsman",1.2300000000000000e+00
51,"Arcona 355",1.2140000000000000e+00
52,"Ansa 42",1.2100000000000000e+00
53,"Wasa 30 HR",1.2100000000000000e+00
54,"HR 31 PG",1.1499999999999999e+00
55,"Albin Nova",1.1599999999999999e+00
57,"Albin Delta",1.1100000000000001e+00
58,"NF",1.1100000000000001e+00
59,"Fortissimo",1.1000000000000001e+00
61,"Sunwind 29",1.0900000000000001e+00
62,"Fenix",1.0600000000000001e+00
63,"Havskryssare",1.0500000000000000e+00
64,"Accent",1.0360000000000000e+00
65,"HR 26",1.0300000000000000e+00
66,"Storfidra",9.1000000000000003e-01
67,"Scanner 38",1.2500000000000000e+00
68,"Diva 39",1.2600000000000000e+00
69,"Sunwind 26",1.0160000000000000e+00
70,"Targa 96",1.0800000000000001e+00
71,"Gambler 38",1.2669999999999999e+00
72,"Laurinkryssare",1.0500000000000000e+00
73,"Avance 36",1.1699999999999999e+00
75,"Mamba 36",1.1990000000000001e+00
76,"HR 34",1.1899999999999999e+00
77,"Jeanneau Sun Fast 37",1.2700000000000000e+00
78,"Express",1.1200000000000001e+00
80,"Linjett 35",1.1899999999999999e+00
81,"Comfort 26",1.0800000000000001e+00
82,"Trio 80",1.0400000000000000e+00
83,"Winga 29",1.0600000000000001e+00
85,"Rasmus 35",1.0400000000000000e+00
87,"Ballad",1.0900000000000001e+00
88,"Mamba 33",1.1399999999999999e+00
89,"Mixer CR",1.1750000000000000e+00
90,"B 31",1.0700000000000001e+00
91,"Omega 36",1.2200000000000000e+00
92,"Mistral 33",1.0800000000000001e+00
93,"Magnifik Midget",9.5999999999999996e-01
94,"Aphrodite 25 järn",1.0500000000000000e+00
95,"Storfidra",9.1000000000000003e-01
96,"Maxi 100",1.0600000000000001e+00
97,"Vindö 32",1.0000000000000000e+00
98,"Omega 42",1.2500000000000000e+00
99,"Adagio",1.0000000000000000e+00
100,"Albin Alpha",1.1100000000000001e+00
101,"Arcona 400",1.3300000000000001e+00
102,"Bellona 23",1.0000000000000000e+00
103,"Comfortina 35",1.2300000000000000e+00
104,"Dominant 95",1.1630000000000000e+00
105,"Elan 38",1.2300000000000000e+00
106,"HR 312",1.0800000000000001e+00
107,"Linjett 33",1.1850000000000001e+00
108,"Scanmar 35",1.1430000000000000e+00
109,"Sheriff 600",9.4999999999999996e-01
110,"Smaragd",1.1899999999999999e+00
111,"Vindö 30",1.0000000000000000e+00
112,"Bavaria 32",1.1499999999999999e+00
113,"Klipper 1895",1.1000000000000001e+00
114,"X-102",1.1870000000000001e+00
115,"Granada 27",1.0600000000000001e+00
116,"Scanmar 345",1.1799999999999999e+00
117,"Havsörn II",1.0500000000000000e+00
118,"Östersjösexa",1.0700000000000001e+00
119,"Arcona 36",1.2300000000000000e+00
120,"Wasa 34",1.1699999999999999e+00
121,"Vindö 50",1.0800000000000001e+00
124,"Marieholm 26",9.4999999999999996e-01
125,"Comfort 34",1.1399999999999999e+00
126,"X-412",1.3100000000000001e+00
127,"Swan 36 S&S",1.1330000000000000e+00
128,"Monsun 31",1.0520000000000000e+00
129,"G4",0.0000000000000000e+00
130,"Misil 1",9.5999999999999996e-01
131,"Maxi 108",1.1699999999999999e+00
132,"Allegro 27",9.9500000000000000e-01
133,"Willing 31 LR",1.0900000000000001e+00
134,"G3",0.0000000000000000e+00
135,"Forgus 37",1.1799999999999999e+00
136,"G6",0.0000000000000000e+00
137,"Nord 80-1977",1.0200000000000000e+00
138,"OE 36",1.1250000000000000e+00
139,"Nicholson 38",1.1499999999999999e+00
140,"G5",0.0000000000000000e+00
141,"Optima HT",1.0200000000000000e+00
142,"Kustkryssare 1,12",1.1200000000000001e+00
143,"Baltic 38 DP",1.2000000000000000e+00
144,"Contrast 36",1.2010000000000001e+00
145,"Arcona 32",1.1419999999999999e+00
147,"Cenit 33",1.1739999999999999e+00
148,"Contrast 33",1.1699999999999999e+00
149,"Coronado 25",2.0000000000000000e+00
150,"Crown 31",1.1699999999999999e+00
151,"Dragonfly 920",1.5800000000000001e+00
152,"Facil 26",1.0100000000000000e+00
153,"Fingal",9.8999999999999999e-01
155,"First 38",1.2100000000000000e+00
156,"G2",0.0000000000000000e+00
157,"Gallion 22",2.0000000000000000e+00
158,"Grinde",1.0700000000000001e+00
159,"Harmony 31, Eng",1.0600000000000001e+00
160,"Havskryssare 1,10",1.1000000000000001e+00
161,"Hkr ketch A",1.0300000000000000e+00
162,"HR 352 HR",1.1200000000000001e+00
163,"IW 31",1.0800000000000001e+00
164,"Jon 33",1.1399999999999999e+00
165,"Jubilee 40",2.0000000000000000e+00
166,"Koster 1,01",1.0100000000000000e+00
167,"Laurin 3.2 Mod",2.0000000000000000e+00
168,"Laurinkryssare 1,05",1.0500000000000000e+00
169,"LG 103",2.0000000000000000e+00
170,"Linjett 30 HR",1.0900000000000001e+00
171,"Lotus",1.1599999999999999e+00
172,"Mamba 29",1.0700000000000001e+00
173,"Mamba 34",1.1499999999999999e+00
174,"Marieholm 32",1.0500000000000000e+00
175,"Maxi 909",1.1100000000000001e+00
176,"Mistinguette",1.0700000000000001e+00
177,"Najad 360",1.1310000000000000e+00
178,"OE 38",2.0000000000000000e+00
179,"One Off 1,14",1.1399999999999999e+00
180,"Beason 31",1.1000000000000001e+00
181,"Ohlson 29 1976-",1.0700000000000001e+00
182,"One Off 0.96",9.5999999999999996e-01
184,"Comfort 32",1.1180000000000001e+00
185,"Sylphe",9.3999999999999995e-01
186,"Swan 371",1.2000000000000000e+00
188,"Semona",1.0169999999999999e+00
189,"X 3/4 ton",1.2100000000000000e+00
191,"Swede 38",1.2110000000000001e+00
192,"X-Cat",2.0000000000000000e+00
194,"O",0.0000000000000000e+00
195,"Wasa 55",1.2700000000000000e+00
196,"Sirena 44",1.3400000000000001e+00
197,"Albin Stratus",1.1779999999999999e+00
198,"Baccant",1.0600000000000001e+00
200,"Bavaria 370",1.2000000000000000e+00
201,"Bavaria 34",1.1599999999999999e+00
202,"Becker 27",1.0200000000000000e+00
203,"Dynamic 35",1.2600000000000000e+00
204,"Elan 33",1.1599999999999999e+00
205,"Elvström 717",1.1359999999999999e+00
206,"First 31.7 LR",1.1940000000000000e+00
208,"Linjett 40",1.2989999999999999e+00
209,"Mamba 31",1.1000000000000001e+00
210,"Mustang JR",1.0100000000000000e+00
211,"BlåCarat",1.3799999999999999e+00
212,"Scanner 391",1.2629999999999999e+00
213,"Sirius 31",1.0400000000000000e+00
215,"Wasa 360",1.2200000000000000e+00
216,"X-79",1.1399999999999999e+00
217,"Skärgårdskryssare 30",1.2000000000000000e+00
218,"Inferno 31",1.1699999999999999e+00
220,"Ohlson 29 -1975",1.0600000000000001e+00
221,"Avance 33",1.1319999999999999e+00
222,"Dehler 34 nova",1.1699999999999999e+00
223,"Elan 333",1.2200000000000000e+00
224,"Campus 650",1.0600000000000001e+00
226,"Compis 33",1.1519999999999999e+00
227,"Hanse 315",1.1499999999999999e+00
228,"J/105",1.2800000000000000e+00
229,"Vindö 40 503",1.0500000000000000e+00
230,"Swede 55",1.3200000000000001e+00
231,"Passad",1.1899999999999999e+00
232,"Finngulf 33",1.1899999999999999e+00
233,"Moody 42 Ketch",1.1799999999999999e+00
234,"Norlin 37",1.1899999999999999e+00
235,"Seacat",9.5999999999999996e-01
236,"Sw Yachts 36 Cr",1.2200000000000000e+00
237,"Mamba 311",1.0900000000000001e+00
238,"Rival 22",1.1370000000000000e+00
240,"Dixie 27",1.0300000000000000e+00
241,"Havsfidra",8.0000000000000004e-01
154,"Finngulf 31",1.1699999999999999e+00
242,"M 25",1.0700000000000001e+00
243,"Senorita Helmsman",1.1020000000000001e+00
244,"Indra",9.9399999999999999e-01
246,"HR 35 Rasmus",1.0300000000000000e+00
247,"Bavaria 37 Cruiser",1.2060000000000000e+00
248,"Hanse 371",1.2500000000000000e+00
249,"Bavaria 30 Cruiser",1.1030000000000000e+00
251,"Kustkryssare 1,19",1.1899999999999999e+00
252,"Beason 36",1.2000000000000000e+00
253,"Jarrack 33",1.1200000000000001e+00
254,"Granada 33",1.1699999999999999e+00
255,"Granada 31 MH",1.1100000000000001e+00
256,"Ohlson 22",1.0000000000000000e+00
257,"X-332",1.2400000000000000e+00
258,"Amigo 27",9.4999999999999996e-01
259,"Omega 28",1.0700000000000001e+00
260,"Mamba 35",1.2000000000000000e+00
261,"L 28",1.0000000000000000e+00
262,"MS_Doris",1.0700000000000001e+00
263,"Nordship 28",1.0600000000000001e+00
264,"Bruce Roberts 46",1.1499999999999999e+00
265,"Dragonfly 920 XTR",1.7000000000000000e+00
266,"Tetis",1.0400000000000000e+00
267,"Linjett 32",1.1200000000000001e+00
269,"Dehler 35 CUS",1.2000000000000000e+00
271,"Bavaria 38 Holiday",1.2000000000000000e+00
272,"Elan 36",1.2500000000000000e+00
273,"Accantus 78",1.0000000000000000e+00
274,"Maxi Racer",1.1200000000000001e+00
276,"First 260",1.0500000000000000e+00
278,"Bavaria 37",1.1899999999999999e+00
279,"Malö 40H",1.0700000000000001e+00
281,"Bavaria 30 C",1.0840000000000001e+00
282,"Laurinkoster",1.5000000000000000e+00
283,"Bavaria 33C",1.1090000000000000e+00
285,"Sweden Yacht 38",1.2300000000000000e+00
286,"HR31",1.1599999999999999e+00
290,"Maxi 38+",1.2300000000000000e+00
291,"Eloge 38",1.2200000000000000e+00
292,"Vigg Albin",9.6999999999999997e-01
293,"Rapid",1.1399999999999999e+00
294,"Comfortina 38 Cr",1.2600000000000000e+00
295,"J/120",1.3600000000000001e+00
296,"One-off Epoxi",1.2600000000000000e+00
297,"Hunter 33",1.1399999999999999e+00
298,"Hanse 341 R",1.2300000000000000e+00
299,"Parant",1.0000000000000000e+00
301,"Bavaria 36 2003",1.1699999999999999e+00
302,"ONE 40",1.3700000000000001e+00
303,"Sirena 38",1.2100000000000000e+00
304,"Bagatelle 27",1.0400000000000000e+00
305,"Comet 1050",1.1100000000000001e+00
306,"Dufour 325 Grand Large",1.1299999999999999e+00
307,"Nord 120",1.1299999999999999e+00
308,"Sun Odysse 36 Y",1.2700000000000000e+00
309,"Raven (one-off)",1.3000000000000000e+00
310,"One-off Kermit",1.1299999999999999e+00
311,"Hanse 370e",1.2640000000000000e+00
312,"Bavaria 31 (2009)",1.1000000000000001e+00
315,"Scanner 392",1.2800000000000000e+00
316,"Elan Impression 384",1.2100000000000000e+00
317,"Hanse 531",1.3899999999999999e+00
319,"Hanse 375",1.2600000000000000e+00
320,"CB 365",1.2960000000000000e+00
321,"J/24",1.1100000000000001e+00
322,"Sweline 36",1.2500000000000000e+00
323,"First 27.7",1.1599999999999999e+00
325,"Maxi 68",9.9399999999999999e-01
327,"Dufour 365 Grand Large",1.1599999999999999e+00
328,"S & S 52",1.2200000000000000e+00
329,"Linjett 30 LR",1.0800000000000001e+00
330,"Bavaria 33 Cr 20XX",1.1499999999999999e+00
331,"Bavaria 30 Cr",1.0840000000000001e+00
332,"Bavaria 36 8866",1.1799999999999999e+00
333,"Arcona 430 medium köl",1.3999999999999999e+00
334,"Beneteau Oceanis Clipper 343",1.1699999999999999e+00
335,"Dufour 34 HR",1.2400000000000000e+00
336,"Rhapsody Royal",1.1899999999999999e+00
337,"Safir",1.1550000000000000e+00
338,"Comet 41S",1.3160000000000001e+00
339,"Swan 40 321",1.1930000000000001e+00
340,"HR 31",1.1399999999999999e+00
341,"Hanse 325",1.1499999999999999e+00
343,"Bavaria 40 CR",1.2200000000000000e+00
344,"Kustkryssare 1301",9.7999999999999998e-01
345,"X-562",1.4800000000000000e+00
346,"Dufour 405 GL",1.2900000000000000e+00
347,"Hanse 311",1.1499999999999999e+00
348,,0.0000000000000000e+00
349,"First 40.7",1.3390000000000000e+00
350,"Dufour 375 Grand Large",1.1799999999999999e+00
351,"HR 342",1.2000000000000000e+00
352,"Jeanneau Sun Odyssey 45.2",1.2700000000000000e+00
353,"Forgus 31",1.0910000000000000e+00
354,"Sw Yachts 370",1.2300000000000000e+00
355,"J/80",1.2000000000000000e+00
245,"Jeanneau Sun Odyssey 37.1",1.1799999999999999e+00
356,"HR 39",1.3000000000000000e+00
357,"Skippi 650 CR -2006",1.0649999999999999e+00
358,"Vega Outboard",1.0200000000000000e+00
359,"Hanse 355",1.2000000000000000e+00
360,"Finesse 26 proto",1.1000000000000001e+00
361,"Facil 35",1.1670000000000000e+00
362,"Aphrodite 30",1.0800000000000001e+00
363,"Arabesque 32",1.1070000000000000e+00
364,"Bavaria 42 Cr",1.2609999999999999e+00
365,"Sun Odyssey 42i Performance",1.2500000000000000e+00
366,"Maxi 130",1.2000000000000000e+00
367,"Kustkryssare L25",1.1000000000000001e+00
368,"Rhapsody 40",1.1610000000000000e+00
369,"Hanse 345",1.1899999999999999e+00
370,"Elan 210",1.0960000000000001e+00
371,,0.0000000000000000e+00
372,"Dufour 34 LR",1.2300000000000000e+00
373,"Rhapsody 40 CVS",1.2500000000000000e+00
374,"Ansö 42",1.2200000000000000e+00
375,"Scanner 361",1.2500000000000000e+00
376,"Sun Odessey 42.1",1.2200000000000000e+00
377,"Beneteau Oceanis 311",1.1450000000000000e+00
378,"Kustkryssare ESM",1.0500000000000000e+00
379,"Lagoon 380",1.3000000000000000e+00
380,"Dufour 410 GL",1.2000000000000000e+00
381,"Mani 32",1.2200000000000000e+00
382,"Dehler 33 Cr.",1.2529999999999999e+00
383,"Stress 107 Cr",1.1799999999999999e+00
384,"Dufour 34E Performance",1.3000000000000000e+00
385,"Bavaria 30 Cruiser 670",1.1100000000000001e+00
387,,0.0000000000000000e+00
389,"Bavaria 30 Cr. E6234",1.1100000000000001e+00
390,"Engelsk kutter",1.0200000000000000e+00
391,"Najad 405 E6205",1.1599999999999999e+00
392,"Skuta Ellen",1.2200000000000000e+00
393,"Hajkutter",1.1200000000000001e+00
394,"Essex Smack",9.4999999999999996e-01
395,"Sun Odyssey 37",1.1799999999999999e+00
396,"Vedjakt",1.5200000000000000e+00
397,"Yacht",1.3000000000000000e+00
86,"Linjett 32 MH",1.1200000000000001e+00
207,"First 35,5",1.1799999999999999e+00
146,"Cayenne Int",1.2860000000000000e+00
84,"S 30",1.1910000000000001e+00
214,"Sky Sail 28 24",1.0400000000000000e+00
225,"Wasa 38 Cr",1.2300000000000000e+00
122,"X-372 7/8",1.2600000000000000e+00
270,"Swedestar 370",1.2980000000000000e+00
275,"Dufour 40 HR",1.3200000000000001e+00
300,"C 40",1.2200000000000000e+00
187,"Albin 78 Cirrus",1.0400000000000000e+00
9,"Compis",1.0569999999999999e+00
342,"C & C 39 Mk1",1.2400000000000000e+00
250,"X-362 Sport",1.2900000000000000e+00
324,"Nordisk Folkbåt",9.6799999999999997e-01
199,"Bavaria 36 CR 01-05",1.1850000000000001e+00
314,"Bavaria 38CR",1.2000000000000000e+00
56,"Bavaria 31 C",1.1200000000000001e+00
386,"Sw Yachts 340 E6271",1.1399999999999999e+00
388,"Dehler 34 Cr. E4582 UUS",1.1940000000000000e+00
